"jS_mouseID","jS_sex","jS_lon","jS_lat","jS_year","jS_BMI","jS_HI","jS_Ntrapped","ID","imperv","tcd","clc","swf_perc","dist_road","dist_path","prec_aug_2015","prec_aug_2016","prec_aug_2017","prec_aug_2018","soil_moist","soil_ph","CATO","PITO","POTO","cat_dens","pig_dens","pou_dens","gem_char","clc_fct"
"SK_2992","M",12.245,49.6772,"2015",1.16644057866468,0,7,62,9.6899995803833,0,"211",0,87.8018112182617,107.112091064453,64.8674850463867,34.6942901611328,104.463745117188,35.214298248291,104.418159484863,4.83688735961914,0.635191380977631,0.0338702164590359,0.00412989594042301,0.294260442256927,0.0156908072531223,1.91322672367096,"09374160","3"
"SK_3031","F",12.1353,48.8936,"2015",4.26693319595755,0.68,3,63,52.0099983215332,0,"121",0,109.167274475098,47.792236328125,33.7244453430176,45.6240386962891,103.775787353516,56.7519226074219,102.959426879883,6.38960933685303,0.536088764667511,0.0299952458590269,3.91250760003459e-05,0.144040018320084,0.00805932935327291,0.0105123948305845,"09375205","1"
"AA_0666","F",14.1414,53.0783,"2018",-1.07025294744664,0.84,14,64,7.65000009536743,0,"112",9,63.8303489685059,318.106231689453,26.014669418335,47.6559638977051,59.3956604003906,12.4641408920288,91.6989593505859,6.95007133483887,0.298691153526306,0.450649976730347,0.0634732320904732,0.0668743327260017,0.100896582007408,14.2111005783081,"12073386","2"
"AA_0188","F",14.0355,53.0203,"2016",-1.40389378545096,0.72,5,65,44.1699981689453,4.30000019073486,"112",8,19.6653060913086,122.025833129883,22.2413272857666,41.0197944641113,48.5831336975098,15.0084733963013,91.3884124755859,6.92543697357178,3.39110207557678,0.227075219154358,0.236762419342995,0.104476436972618,0.00699595874175429,7.29441165924072,"12073008","2"
"AA_0573","M",14.0736,52.9308,"2018",-1.38649134343421,0.95,2,66,36.6100006103516,10.4499998092651,"112",21,35.2046546936035,65.3394927978516,29.6286849975586,45.991512298584,56.1186103820801,8.4801607131958,91.0582580566406,7.34466028213501,0.60954225063324,0.00925637595355511,0.00514053087681532,0.353598743677139,0.005369673948735,2.9820499420166,"12060185","2"
"AA_0391","M",14.1808,52.0747,"2017",2.18501589409839,0.83,11,67,48.6599998474121,0.629999995231628,"112",6,25.0926818847656,216.876358032227,30.7403316497803,37.9916954040527,74.2157363891602,18.1067924499512,87.0738983154297,NA,2.06985425949097,0.12037518620491,0.000187542696949095,0.170200988650322,0.00989826954901218,0.0154213523492217,"12067493","2"
"AA_0634","M",14.1414,53.0783,"2018",-1.02201739713863,0.74,14,68,7.65000009536743,0,"112",9,63.8303489685059,318.106231689453,26.014669418335,47.6559638977051,59.3956604003906,12.4641408920288,91.6989593505859,6.95007133483887,0.298691153526306,0.450649976730347,0.0634732320904732,0.0668743327260017,0.100896582007408,14.2111005783081,"12073386","2"
"SK_3156","F",13.5472,52.9217,"2015",1.54947686075581,0.16,4,69,68.0400009155273,0.419999986886978,"112",0,22.1092071533203,111.397941589355,42.4467506408691,49.1705741882324,66.9662322998047,14.2238731384277,92,4.82803964614868,1.79432463645935,0.0239626169204712,0.0121016260236502,0.0754082500934601,0.00100705248769373,0.508582711219788,"12060198","2"
"AA_0612","F",14.0806,53.0336,"2018",-2.40252642044736,0.78,9,70,0,0,"211",0,26.4313259124756,581.596984863281,24.1022644042969,44.5001678466797,53.6766624450684,13.9989881515503,92,7.24931526184082,0.132863029837608,0.0593872144818306,0.0634582042694092,0.0284640565514565,0.0127228843048215,13.5950374603271,"12073505","3"
"AA_0375","M",14.1808,52.0747,"2017",-0.446573896400526,0.75,11,71,48.6599998474121,0.629999995231628,"112",6,25.0926818847656,216.876358032227,30.7403316497803,37.9916954040527,74.2157363891602,18.1067924499512,87.0738983154297,NA,2.06985425949097,0.12037518620491,0.000187542696949095,0.170200988650322,0.00989826954901218,0.0154213523492217,"12067493","2"
